w_outcome,w_tool,w_trajectory,w_efficiency,mean_ReAct,mean_PlanExecute,mean_Reflection,mean_Single_slot,rank1,rank2,rank3,rank4
0.05,0.3,0.1,0.55,76.32,89.32,67.87,82.11,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.15,0.5,74.79,89.38,69.79,82.83,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.2,0.45,73.25,89.43,71.7,83.56,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.25,0.4,71.72,89.48,73.59,84.28,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.3,0.35,70.18,89.53,75.49,85.0,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.35,0.3,68.65,89.58,77.38,85.72,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.4,0.25,67.11,89.63,79.28,86.44,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.45,0.2,65.57,89.69,81.17,87.16,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.5,0.15,64.04,89.74,83.07,87.88,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.55,0.1,62.5,89.79,84.96,88.61,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.6,0.05,60.97,89.84,86.86,89.33,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.05,0.55,75.55,88.0,66.26,80.7,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.1,0.5,74.02,88.05,68.18,81.43,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.15,0.45,72.48,88.11,70.11,82.15,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.2,0.4,70.95,88.16,72.0,82.87,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.25,0.35,69.41,88.21,73.9,83.59,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.3,0.3,67.88,88.26,75.79,84.31,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.35,0.25,66.34,88.31,77.69,85.03,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.4,0.2,64.8,88.36,79.58,85.75,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.45,0.15,63.27,88.42,81.48,86.47,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.5,0.1,61.73,88.47,83.37,87.2,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.55,0.05,60.2,88.52,85.27,87.92,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.05,0.5,73.25,86.73,66.58,80.02,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.1,0.45,71.71,86.78,68.5,80.74,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.15,0.4,70.18,86.84,70.41,81.46,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.2,0.35,68.64,86.89,72.31,82.18,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.25,0.3,67.11,86.94,74.2,82.9,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.3,0.25,65.57,86.99,76.1,83.62,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.35,0.2,64.03,87.04,77.99,84.34,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.4,0.15,62.5,87.09,79.89,85.07,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.45,0.1,60.96,87.15,81.78,85.79,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.5,0.05,59.43,87.2,83.68,86.51,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.05,0.45,70.94,85.46,66.9,79.33,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.1,0.4,69.41,85.52,68.82,80.05,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.15,0.35,67.87,85.57,70.72,80.77,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.2,0.3,66.34,85.62,72.62,81.49,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.25,0.25,64.8,85.67,74.51,82.21,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.3,0.2,63.26,85.72,76.41,82.93,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.35,0.15,61.73,85.77,78.3,83.66,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.4,0.1,60.19,85.83,80.2,84.38,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.45,0.05,58.66,85.88,82.09,85.1,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.05,0.4,68.64,84.19,67.22,78.64,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.5,0.1,0.35,67.1,84.25,69.13,79.36,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.15,0.3,65.57,84.3,71.03,80.08,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.2,0.25,64.03,84.35,72.92,80.8,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.25,0.2,62.49,84.4,74.82,81.53,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.3,0.15,60.96,84.45,76.71,82.25,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.35,0.1,59.42,84.5,78.61,82.97,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.4,0.05,57.89,84.56,80.5,83.69,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.05,0.35,66.33,82.93,67.54,77.95,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.1,0.3,64.8,82.98,69.44,78.67,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.15,0.25,63.26,83.03,71.33,79.39,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.2,0.2,61.72,83.08,73.23,80.12,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.25,0.15,60.19,83.13,75.12,80.84,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.3,0.1,58.65,83.18,77.02,81.56,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.35,0.05,57.12,83.23,78.91,82.28,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.05,0.3,64.03,81.66,67.85,77.26,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.1,0.25,62.49,81.71,69.74,77.98,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.15,0.2,60.95,81.76,71.64,78.71,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.2,0.15,59.42,81.81,73.53,79.43,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.25,0.1,57.88,81.86,75.43,80.15,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.3,0.05,56.35,81.91,77.33,80.87,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.05,0.25,61.72,80.39,68.16,76.58,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.1,0.2,60.19,80.44,70.05,77.3,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.15,0.15,58.65,80.49,71.95,78.02,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.2,0.1,57.11,80.54,73.84,78.74,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.25,0.05,55.58,80.59,75.74,79.46,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.05,0.2,59.42,79.12,68.46,75.89,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.1,0.15,57.88,79.17,70.36,76.61,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.15,0.1,56.34,79.22,72.25,77.33,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.2,0.05,54.81,79.27,74.15,78.05,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.05,0.15,57.11,77.85,68.77,75.2,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.1,0.1,55.57,77.9,70.66,75.92,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.15,0.05,54.04,77.95,72.56,76.64,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.8,0.05,0.1,54.8,76.58,69.08,74.51,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.8,0.1,0.05,53.27,76.63,70.97,75.23,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.85,0.05,0.05,52.5,75.31,69.38,73.82,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.05,0.8,88.78,94.67,65.02,84.28,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.05,0.1,0.75,87.25,94.72,66.95,85.01,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.05,0.15,0.7,85.71,94.78,68.88,85.73,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.2,0.65,84.18,94.83,70.8,86.45,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.25,0.6,82.64,94.88,72.73,87.17,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.3,0.55,81.11,94.93,74.63,87.89,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.35,0.5,79.57,94.98,76.52,88.61,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.4,0.45,78.04,95.03,78.42,89.33,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.45,0.4,76.5,95.08,80.31,90.06,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.5,0.35,74.96,95.14,82.21,90.78,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.55,0.3,73.43,95.19,84.1,91.5,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.6,0.25,71.89,95.24,86.0,92.22,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.65,0.2,70.36,95.29,87.89,92.94,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.7,0.15,68.82,95.34,89.79,93.66,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.75,0.1,67.29,95.39,91.68,94.38,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.8,0.05,65.75,95.45,93.58,95.1,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.05,0.75,86.48,93.4,65.34,83.6,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.1,0.1,0.7,84.94,93.45,67.27,84.32,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.1,0.15,0.65,83.41,93.51,69.2,85.04,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.2,0.6,81.87,93.56,71.12,85.76,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.25,0.55,80.34,93.61,73.04,86.48,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.3,0.5,78.8,93.66,74.93,87.2,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.35,0.45,77.27,93.71,76.83,87.92,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.4,0.4,75.73,93.76,78.73,88.65,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.45,0.35,74.2,93.82,80.62,89.37,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.5,0.3,72.66,93.87,82.52,90.09,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.55,0.25,71.12,93.92,84.41,90.81,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.6,0.2,69.59,93.97,86.31,91.53,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.65,0.15,68.05,94.02,88.2,92.25,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.7,0.1,66.52,94.07,90.1,92.97,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.75,0.05,64.98,94.13,91.99,93.7,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.05,0.7,84.17,92.13,65.66,82.91,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.15,0.1,0.65,82.64,92.18,67.59,83.63,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.15,0.6,81.1,92.24,69.52,84.35,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.2,0.55,79.57,92.29,71.44,85.07,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.25,0.5,78.03,92.34,73.35,85.79,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.3,0.45,76.5,92.39,75.24,86.52,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.35,0.4,74.96,92.44,77.14,87.24,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.4,0.35,73.43,92.49,79.03,87.96,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.45,0.3,71.89,92.55,80.93,88.68,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.5,0.25,70.35,92.6,82.82,89.4,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.55,0.2,68.82,92.65,84.72,90.12,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.6,0.15,67.28,92.7,86.61,90.84,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.65,0.1,65.75,92.75,88.51,91.56,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.7,0.05,64.21,92.8,90.4,92.29,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.05,0.65,81.87,90.86,65.98,82.22,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.1,0.6,80.33,90.92,67.91,82.94,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.15,0.55,78.8,90.97,69.84,83.66,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.2,0.5,77.26,91.02,71.76,84.38,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.25,0.45,75.73,91.07,73.65,85.11,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.3,0.4,74.19,91.12,75.55,85.83,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.35,0.35,72.66,91.17,77.44,86.55,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.4,0.3,71.12,91.22,79.34,87.27,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.45,0.25,69.58,91.28,81.23,87.99,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.5,0.2,68.05,91.33,83.13,88.71,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.55,0.15,66.51,91.38,85.02,89.43,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.6,0.1,64.98,91.43,86.92,90.16,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.65,0.05,63.44,91.48,88.81,90.88,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.05,0.6,79.56,89.59,66.3,81.53,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.1,0.55,78.03,89.65,68.23,82.25,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.15,0.5,76.49,89.7,70.16,82.98,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.2,0.45,74.96,89.75,72.06,83.7,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.25,0.4,73.42,89.8,73.96,84.42,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.3,0.35,71.89,89.85,75.85,85.14,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.35,0.3,70.35,89.9,77.75,85.86,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.4,0.25,68.81,89.96,79.64,86.58,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.45,0.2,67.28,90.01,81.54,87.3,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.5,0.15,65.74,90.06,83.43,88.02,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.55,0.1,64.21,90.11,85.33,88.75,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.6,0.05,62.67,90.16,87.23,89.47,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.05,0.55,77.26,88.32,66.62,80.84,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.1,0.5,75.72,88.38,68.55,81.57,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.15,0.45,74.19,88.43,70.47,82.29,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.2,0.4,72.65,88.48,72.37,83.01,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.25,0.35,71.12,88.53,74.27,83.73,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.3,0.3,69.58,88.58,76.16,84.45,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.35,0.25,68.04,88.63,78.06,85.17,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.4,0.2,66.51,88.69,79.95,85.89,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.45,0.15,64.97,88.74,81.85,86.62,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.5,0.1,63.44,88.79,83.74,87.34,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.55,0.05,61.9,88.84,85.64,88.06,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.05,0.5,74.95,87.06,66.95,80.16,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.1,0.45,73.42,87.11,68.87,80.88,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.15,0.4,71.88,87.16,70.78,81.6,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.2,0.35,70.35,87.21,72.68,82.32,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.25,0.3,68.81,87.26,74.57,83.04,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.3,0.25,67.27,87.31,76.47,83.76,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.35,0.2,65.74,87.37,78.36,84.48,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.4,0.15,64.2,87.42,80.26,85.21,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.45,0.1,62.67,87.47,82.15,85.93,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.5,0.05,61.13,87.52,84.05,86.65,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.05,0.45,72.65,85.79,67.27,79.47,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.1,0.4,71.11,85.84,69.19,80.19,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.15,0.35,69.58,85.89,71.09,80.91,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.2,0.3,68.04,85.94,72.98,81.63,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.25,0.25,66.5,85.99,74.88,82.35,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.3,0.2,64.97,86.04,76.77,83.07,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.35,0.15,63.43,86.1,78.67,83.8,PlanExecute,Single-slot,Reflection,ReAct
