case_id,agent_type,persona_type,run_status,score_s_resolution,score_s_completeness,score_s_tone,final_score_0_100,reasoning_s_resolution,reasoning_s_completeness,reasoning_s_tone
CASE_121,Single-slot,Polite,LOOP_FAILURE,,,,15.0,,,
CASE_122,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_123,Single-slot,Polite,SUCCESS,,,,35.0,,,
CASE_124,Single-slot,Polite,LOOP_FAILURE,,,,5.0,,,
CASE_125,Single-slot,Polite,LOOP_FAILURE,,,,25.0,,,
CASE_126,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_127,Single-slot,Polite,SUCCESS,,,,10.0,,,
CASE_128,Single-slot,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_129,Single-slot,Polite,SUCCESS,,,,5.0,,,
CASE_130,Single-slot,Polite,SUCCESS,,,,5.0,,,
CASE_131,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_132,Single-slot,Polite,SUCCESS,,,,62.5,,,
CASE_133,Single-slot,Polite,SUCCESS,,,,10.0,,,
CASE_134,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_135,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_137,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_138,Single-slot,Polite,SUCCESS,,,,80.0,,,
CASE_139,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_140,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_141,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_142,Single-slot,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_143,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_144,Single-slot,Polite,FAILED_INCOMPLETE,,,,42.5,,,
CASE_145,Single-slot,Polite,FAILED_INCOMPLETE,,,,55.0,,,
CASE_146,Single-slot,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_147,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_148,Single-slot,Polite,FAILED_INCOMPLETE,,,,25.0,,,
CASE_149,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_150,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_001,ReAct,Polite,SUCCESS,,,,85.0,,,
CASE_002,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_003,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_004,ReAct,Polite,SUCCESS,,,,85.0,,,
CASE_005,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_006,ReAct,Polite,SUCCESS,,,,20.0,,,
CASE_007,ReAct,Polite,SUCCESS,,,,77.5,,,
CASE_008,ReAct,Polite,SUCCESS,,,,85.0,,,
CASE_009,ReAct,Polite,SUCCESS,,,,20.0,,,
CASE_010,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_011,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_012,ReAct,Polite,SUCCESS,,,,32.5,,,
CASE_013,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_014,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_015,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_016,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_017,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_018,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_019,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_020,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_021,ReAct,Polite,SUCCESS,,,,77.5,,,
CASE_022,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_023,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_024,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_025,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_026,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_027,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_028,ReAct,Polite,SUCCESS,,,,30.0,,,
CASE_029,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_030,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_031,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_032,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_033,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_034,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_035,ReAct,Polite,SUCCESS,,,,80.0,,,
CASE_036,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_037,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_038,ReAct,Polite,SUCCESS,,,,30.0,,,
CASE_039,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_040,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_041,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_042,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_043,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_044,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_045,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_046,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_047,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_048,ReAct,Polite,LOOP_FAILURE,,,,52.5,,,
CASE_049,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_050,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_051,ReAct,Polite,SUCCESS,,,,65.0,,,
CASE_052,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_053,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_054,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_055,ReAct,Polite,LOOP_FAILURE,,,,65.0,,,
CASE_056,ReAct,Polite,LOOP_FAILURE,,,,27.5,,,
CASE_057,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_058,ReAct,Polite,SUCCESS,,,,55.0,,,
CASE_059,ReAct,Polite,SUCCESS,,,,30.0,,,
CASE_060,ReAct,Polite,LOOP_FAILURE,,,,52.5,,,
CASE_061,ReAct,Polite,LOOP_FAILURE,,,,52.5,,,
CASE_062,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_063,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_064,ReAct,Polite,SUCCESS,,,,85.0,,,
CASE_065,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_066,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_067,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_068,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_069,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_070,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_071,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_072,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_073,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_074,ReAct,Polite,SUCCESS,,,,80.0,,,
CASE_075,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_076,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_077,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_078,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_079,ReAct,Polite,SUCCESS,,,,22.5,,,
CASE_080,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_081,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_082,ReAct,Polite,SUCCESS,,,,67.5,,,
CASE_083,ReAct,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_084,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_085,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_086,ReAct,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_087,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_088,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_089,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_090,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_091,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_092,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_093,ReAct,Polite,SUCCESS,,,,55.0,,,
CASE_094,ReAct,Polite,SUCCESS,,,,5.0,,,
CASE_095,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_097,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_098,ReAct,Polite,SUCCESS,,,,60.0,,,
CASE_099,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_100,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_101,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_102,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_103,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_104,ReAct,Polite,LOOP_FAILURE,,,,65.0,,,
CASE_105,ReAct,Polite,SUCCESS,,,,42.5,,,
CASE_106,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_107,ReAct,Polite,SUCCESS,,,,85.0,,,
CASE_108,ReAct,Polite,SUCCESS,,,,15.0,,,
CASE_109,ReAct,Polite,SUCCESS,,,,15.0,,,
CASE_110,ReAct,Polite,LOOP_FAILURE,,,,52.5,,,
CASE_111,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_112,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_113,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_114,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_115,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_116,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_117,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_118,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_119,ReAct,Polite,SUCCESS,,,,40.0,,,
CASE_120,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_121,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_122,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_123,ReAct,Polite,SUCCESS,,,,10.0,,,
CASE_124,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_125,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_126,ReAct,Polite,SUCCESS,,,,10.0,,,
CASE_127,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_128,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_129,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_130,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_131,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_132,ReAct,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_133,ReAct,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_134,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_135,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_136,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_137,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_138,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_139,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_140,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_141,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_142,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_143,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_144,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_145,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_146,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_147,ReAct,Polite,SUCCESS,,,,35.0,,,
CASE_148,ReAct,Polite,SUCCESS,,,,52.5,,,
CASE_149,ReAct,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_150,ReAct,Polite,SUCCESS,,,,100.0,,,
CASE_001,ReAct,Adversarial,SUCCESS,,,,80.0,,,
CASE_002,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_003,ReAct,Adversarial,SUCCESS,,,,95.0,,,
CASE_004,ReAct,Adversarial,SUCCESS,,,,82.5,,,
CASE_005,ReAct,Adversarial,SUCCESS,,,,95.0,,,
CASE_006,ReAct,Adversarial,SUCCESS,,,,80.0,,,
CASE_007,ReAct,Adversarial,SUCCESS,,,,72.5,,,
CASE_008,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_009,ReAct,Adversarial,SUCCESS,,,,80.0,,,
CASE_010,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_011,ReAct,Adversarial,SUCCESS,,,,57.5,,,
CASE_013,ReAct,Adversarial,SUCCESS,,,,35.0,,,
CASE_014,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_015,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_016,ReAct,Adversarial,SUCCESS,,,,52.5,,,
CASE_030,ReAct,Adversarial,SUCCESS,,,,95.0,,,
CASE_032,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_047,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_059,ReAct,Adversarial,SUCCESS,,,,25.0,,,
CASE_064,ReAct,Adversarial,LOOP_FAILURE,,,,35.0,,,
CASE_105,ReAct,Adversarial,SUCCESS,,,,30.0,,,
CASE_113,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_003,Reflection,Polite,SUCCESS,,,,67.5,,,
CASE_043,Reflection,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_048,Reflection,Polite,SUCCESS,,,,20.0,,,
CASE_049,Reflection,Polite,LOOP_FAILURE,,,,22.5,,,
CASE_062,Reflection,Polite,SUCCESS,,,,100.0,,,
CASE_042,Reflection,Polite,FAILED_INCOMPLETE,,,,22.5,,,
CASE_044,Reflection,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_046,Reflection,Polite,FAILED_INCOMPLETE,,,,45.0,,,
CASE_047,Reflection,Polite,FAILED_INCOMPLETE,,,,100.0,,,
CASE_050,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_052,Reflection,Polite,LOOP_FAILURE,,,,22.5,,,
CASE_053,Reflection,Polite,SUCCESS,,,,85.0,,,
CASE_054,Reflection,Polite,FAILED_INCOMPLETE,,,,20.0,,,
CASE_057,Reflection,Polite,FAILED_INCOMPLETE,,,,67.5,,,
CASE_058,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_059,Reflection,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_060,Reflection,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_061,Reflection,Polite,SUCCESS,,,,22.5,,,
CASE_063,Reflection,Polite,FAILED_INCOMPLETE,,,,47.5,,,
CASE_064,Reflection,Polite,SUCCESS,,,,67.5,,,
CASE_065,Reflection,Polite,FAILED_INCOMPLETE,,,,17.5,,,
CASE_066,Reflection,Polite,FAILED_INCOMPLETE,,,,17.5,,,
CASE_067,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_068,Reflection,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_070,Reflection,Polite,SUCCESS,,,,10.0,,,
CASE_071,Reflection,Polite,FAILED_INCOMPLETE,,,,22.5,,,
