w_outcome,w_tool,w_trajectory,w_efficiency,mean_ReAct,mean_PlanExecute,mean_Reflection,mean_Single_slot,rank1,rank2,rank3,rank4
0.05,0.15,0.45,0.35,75.32,93.61,72.87,90.85,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.5,0.3,73.65,93.6,75.83,91.26,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.55,0.25,71.97,93.59,78.78,91.67,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.6,0.2,70.3,93.58,81.73,92.08,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.65,0.15,68.63,93.57,84.68,92.49,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.7,0.1,66.96,93.56,87.63,92.9,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.75,0.05,65.29,93.55,90.58,93.31,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.05,0.7,86.42,92.65,50.84,86.78,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.1,0.65,84.75,92.64,53.82,87.19,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.15,0.6,83.07,92.63,56.8,87.6,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.2,0.55,81.4,92.62,59.77,88.01,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.25,0.5,79.73,92.62,62.72,88.42,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.3,0.45,78.06,92.61,65.68,88.82,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.35,0.4,76.39,92.6,68.63,89.23,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.4,0.35,74.72,92.59,71.58,89.64,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.45,0.3,73.05,92.58,74.53,90.05,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.5,0.25,71.38,92.57,77.48,90.46,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.55,0.2,69.71,92.56,80.43,90.87,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.6,0.15,68.04,92.55,83.39,91.28,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.65,0.1,66.37,92.54,86.34,91.69,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.7,0.05,64.7,92.53,89.29,92.1,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.05,0.65,84.15,91.62,52.51,85.98,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.1,0.6,82.48,91.61,55.49,86.39,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.15,0.55,80.81,91.6,58.47,86.8,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.2,0.5,79.14,91.59,61.43,87.21,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.25,0.45,77.47,91.58,64.38,87.62,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.3,0.4,75.8,91.57,67.33,88.02,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.35,0.35,74.13,91.56,70.29,88.43,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.4,0.3,72.46,91.55,73.24,88.84,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.45,0.25,70.79,91.55,76.19,89.25,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.5,0.2,69.12,91.54,79.14,89.66,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.55,0.15,67.45,91.53,82.09,90.07,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.6,0.1,65.78,91.52,85.04,90.48,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.65,0.05,64.11,91.51,88.0,90.89,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.05,0.6,81.89,90.59,54.18,85.18,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.1,0.55,80.22,90.58,57.16,85.59,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.15,0.5,78.55,90.57,60.14,86.0,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.2,0.45,76.88,90.56,63.09,86.41,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.25,0.4,75.21,90.55,66.04,86.81,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.3,0.35,73.54,90.54,68.99,87.22,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.3,0.35,0.3,71.87,90.53,71.94,87.63,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.4,0.25,70.2,90.52,74.89,88.04,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.45,0.2,68.53,90.51,77.85,88.45,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.5,0.15,66.86,90.5,80.8,88.86,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.55,0.1,65.19,90.49,83.75,89.27,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.6,0.05,63.51,90.48,86.7,89.68,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.05,0.55,79.63,89.56,55.84,84.38,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.1,0.5,77.96,89.55,58.82,84.79,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.15,0.45,76.29,89.54,61.79,85.2,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.2,0.4,74.61,89.53,64.74,85.61,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.25,0.35,72.94,89.52,67.7,86.01,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.3,0.3,71.27,89.51,70.65,86.42,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.35,0.35,0.25,69.6,89.5,73.6,86.83,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.4,0.2,67.93,89.49,76.55,87.24,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.45,0.15,66.26,89.48,79.5,87.65,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.5,0.1,64.59,89.47,82.46,88.06,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.35,0.55,0.05,62.92,89.46,85.41,88.47,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.05,0.5,77.36,88.52,57.51,83.58,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.1,0.45,75.69,88.51,60.49,83.99,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.15,0.4,74.02,88.5,63.45,84.4,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.2,0.35,72.35,88.49,66.4,84.8,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.25,0.3,70.68,88.49,69.35,85.21,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.4,0.3,0.25,69.01,88.48,72.31,85.62,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.35,0.2,67.34,88.47,75.26,86.03,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.4,0.15,65.67,88.46,78.21,86.44,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.45,0.1,64.0,88.45,81.16,86.85,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.4,0.5,0.05,62.33,88.44,84.11,87.26,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.05,0.45,75.1,87.49,59.18,82.78,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.1,0.4,73.43,87.48,62.16,83.19,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.15,0.35,71.76,87.47,65.11,83.6,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.2,0.3,70.09,87.46,68.06,84.0,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.45,0.25,0.25,68.42,87.45,71.01,84.41,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.3,0.2,66.75,87.44,73.96,84.82,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.35,0.15,65.08,87.43,76.91,85.23,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.4,0.1,63.41,87.42,79.87,85.64,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.45,0.45,0.05,61.74,87.42,82.82,86.05,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.05,0.4,72.84,86.46,60.85,81.98,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.5,0.1,0.35,71.17,86.45,63.81,82.39,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.5,0.15,0.3,69.5,86.44,66.76,82.79,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.5,0.2,0.25,67.83,86.43,69.72,83.2,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.25,0.2,66.16,86.42,72.67,83.61,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.3,0.15,64.48,86.41,75.62,84.02,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.35,0.1,62.81,86.4,78.57,84.43,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.5,0.4,0.05,61.14,86.39,81.52,84.84,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.05,0.35,70.57,85.43,62.52,81.18,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.55,0.1,0.3,68.9,85.42,65.47,81.59,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.55,0.15,0.25,67.23,85.41,68.42,81.99,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.2,0.2,65.56,85.4,71.37,82.4,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.25,0.15,63.89,85.39,74.33,82.81,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.3,0.1,62.22,85.38,77.28,83.22,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.55,0.35,0.05,60.55,85.37,80.23,83.63,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.05,0.3,68.31,84.39,64.18,80.38,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.6,0.1,0.25,66.64,84.38,67.13,80.78,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.15,0.2,64.97,84.37,70.08,81.19,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.2,0.15,63.3,84.36,73.03,81.6,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.25,0.1,61.63,84.36,75.98,82.01,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.6,0.3,0.05,59.96,84.35,78.93,82.42,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.05,0.25,66.05,83.36,65.83,79.58,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.65,0.1,0.2,64.38,83.35,68.79,79.98,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.15,0.15,62.71,83.34,71.74,80.39,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.2,0.1,61.04,83.33,74.69,80.8,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.65,0.25,0.05,59.37,83.32,77.64,81.21,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.05,0.2,63.78,82.33,67.49,78.78,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.1,0.15,62.11,82.32,70.44,79.18,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.15,0.1,60.44,82.31,73.39,79.59,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.7,0.2,0.05,58.77,82.3,76.35,80.0,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.05,0.15,61.52,81.3,69.15,77.97,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.1,0.1,59.85,81.29,72.1,78.38,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.75,0.15,0.05,58.18,81.28,75.05,78.79,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.8,0.05,0.1,59.26,80.26,70.81,77.17,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.8,0.1,0.05,57.59,80.25,73.76,77.58,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.85,0.05,0.05,56.99,79.23,72.46,76.37,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.05,0.8,91.1,93.59,46.61,87.27,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.05,0.1,0.75,89.43,93.58,49.59,87.67,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.05,0.15,0.7,87.76,93.57,52.57,88.08,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.2,0.65,86.09,93.56,55.55,88.49,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.25,0.6,84.42,93.55,58.52,88.9,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.3,0.55,82.75,93.54,61.48,89.31,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.35,0.5,81.08,93.53,64.43,89.72,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.4,0.45,79.41,93.52,67.38,90.13,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.45,0.4,77.74,93.51,70.33,90.54,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.5,0.35,76.07,93.5,73.28,90.95,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.05,0.55,0.3,74.4,93.49,76.23,91.36,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.6,0.25,72.73,93.49,79.19,91.76,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.65,0.2,71.06,93.48,82.14,92.17,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.7,0.15,69.39,93.47,85.09,92.58,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.75,0.1,67.72,93.46,88.04,92.99,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.05,0.8,0.05,66.05,93.45,90.99,93.4,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.05,0.75,88.84,92.56,48.28,86.47,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.1,0.1,0.7,87.17,92.55,51.26,86.87,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.1,0.15,0.65,85.5,92.54,54.24,87.28,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.2,0.6,83.83,92.53,57.22,87.69,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.25,0.55,82.16,92.52,60.18,88.1,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.3,0.5,80.49,92.51,63.13,88.51,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.35,0.45,78.82,92.5,66.08,88.92,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.4,0.4,77.15,92.49,69.04,89.33,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.45,0.35,75.48,92.48,71.99,89.74,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.1,0.5,0.3,73.81,92.47,74.94,90.15,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.55,0.25,72.14,92.46,77.89,90.55,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.6,0.2,70.47,92.45,80.84,90.96,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.65,0.15,68.79,92.44,83.79,91.37,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.7,0.1,67.12,92.43,86.75,91.78,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.1,0.75,0.05,65.45,92.42,89.7,92.19,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.05,0.7,86.58,91.52,49.95,85.67,PlanExecute,ReAct,Single-slot,Reflection
0.1,0.15,0.1,0.65,84.91,91.51,52.93,86.07,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.15,0.6,83.24,91.5,55.91,86.48,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.2,0.55,81.57,91.5,58.89,86.89,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.25,0.5,79.89,91.49,61.84,87.3,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.3,0.45,78.22,91.48,64.79,87.71,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.35,0.4,76.55,91.47,67.74,88.12,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.4,0.35,74.88,91.46,70.69,88.53,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.15,0.45,0.3,73.21,91.45,73.65,88.94,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.5,0.25,71.54,91.44,76.6,89.35,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.55,0.2,69.87,91.43,79.55,89.75,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.6,0.15,68.2,91.42,82.5,90.16,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.65,0.1,66.53,91.41,85.45,90.57,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.15,0.7,0.05,64.86,91.4,88.4,90.98,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.05,0.65,84.31,90.49,51.62,84.86,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.1,0.6,82.64,90.48,54.6,85.27,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.15,0.55,80.97,90.47,57.58,85.68,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.2,0.5,79.3,90.46,60.54,86.09,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.25,0.45,77.63,90.45,63.5,86.5,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.3,0.4,75.96,90.44,66.45,86.91,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.35,0.35,74.29,90.43,69.4,87.32,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.4,0.3,72.62,90.43,72.35,87.73,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.2,0.45,0.25,70.95,90.42,75.3,88.14,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.5,0.2,69.28,90.41,78.25,88.54,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.55,0.15,67.61,90.4,81.21,88.95,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.6,0.1,65.94,90.39,84.16,89.36,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.2,0.65,0.05,64.27,90.38,87.11,89.77,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.05,0.6,82.05,89.46,53.29,84.06,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.1,0.55,80.38,89.45,56.27,84.47,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.15,0.5,78.71,89.44,59.25,84.88,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.2,0.45,77.04,89.43,62.2,85.29,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.25,0.4,75.37,89.42,65.15,85.7,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.3,0.35,73.7,89.41,68.1,86.11,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.35,0.3,72.03,89.4,71.06,86.52,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.25,0.4,0.25,70.36,89.39,74.01,86.93,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.45,0.2,68.69,89.38,76.96,87.34,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.5,0.15,67.02,89.37,79.91,87.74,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.55,0.1,65.35,89.36,82.86,88.15,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.25,0.6,0.05,63.68,89.36,85.82,88.56,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.05,0.55,79.79,88.43,54.96,83.26,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.1,0.5,78.12,88.42,57.94,83.67,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.15,0.45,76.45,88.41,60.91,84.08,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.2,0.4,74.78,88.4,63.86,84.49,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.25,0.35,73.11,88.39,66.81,84.9,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.3,0.3,71.43,88.38,69.76,85.31,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.3,0.35,0.25,69.76,88.37,72.71,85.72,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.4,0.2,68.09,88.36,75.67,86.13,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.45,0.15,66.42,88.35,78.62,86.54,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.5,0.1,64.75,88.34,81.57,86.94,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.3,0.55,0.05,63.08,88.33,84.52,87.35,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.05,0.5,77.52,87.39,56.62,82.46,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.1,0.45,75.85,87.38,59.6,82.87,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.15,0.4,74.18,87.37,62.56,83.28,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.2,0.35,72.51,87.37,65.52,83.69,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.25,0.3,70.84,87.36,68.47,84.1,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.35,0.3,0.25,69.17,87.35,71.42,84.51,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.35,0.2,67.5,87.34,74.37,84.92,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.4,0.15,65.83,87.33,77.32,85.33,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.45,0.1,64.16,87.32,80.27,85.73,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.35,0.5,0.05,62.49,87.31,83.23,86.14,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.05,0.45,75.26,86.36,58.29,81.66,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.1,0.4,73.59,86.35,61.27,82.07,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.15,0.35,71.92,86.34,64.22,82.48,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.2,0.3,70.25,86.33,67.17,82.89,PlanExecute,Single-slot,ReAct,Reflection
0.1,0.4,0.25,0.25,68.58,86.32,70.13,83.3,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.3,0.2,66.91,86.31,73.08,83.71,PlanExecute,Single-slot,Reflection,ReAct
0.1,0.4,0.35,0.15,65.24,86.3,76.03,84.12,PlanExecute,Single-slot,Reflection,ReAct
