lambda,agent_type,net_value,delta_mb,dataset
0.03,ReAct,-0.2268,0.0121,Out-of-Sample (OOS)
0.03,Reflection,-0.3938,-0.155,Out-of-Sample (OOS)
0.03,Single-slot,-0.2388,0.0,Out-of-Sample (OOS)
0.04,PlanExecute,-0.1482,0.4034,Out-of-Sample (OOS)
0.04,ReAct,-0.5218,0.0298,Out-of-Sample (OOS)
0.04,Reflection,-0.7278,-0.1761,Out-of-Sample (OOS)
0.04,Single-slot,-0.5516,0.0,Out-of-Sample (OOS)
0.05,PlanExecute,-0.3683,0.4962,Out-of-Sample (OOS)
0.05,ReAct,-0.8169,0.0476,Out-of-Sample (OOS)
0.05,Reflection,-1.0618,-0.1973,Out-of-Sample (OOS)
0.05,Single-slot,-0.8645,0.0,Out-of-Sample (OOS)
0.06,PlanExecute,-0.5883,0.5889,Out-of-Sample (OOS)
0.06,ReAct,-1.1119,0.0653,Out-of-Sample (OOS)
0.06,Reflection,-1.3957,-0.2185,Out-of-Sample (OOS)
0.06,Single-slot,-1.1773,0.0,Out-of-Sample (OOS)
0.07,PlanExecute,-0.8084,0.6817,Out-of-Sample (OOS)
0.07,ReAct,-1.407,0.0831,Out-of-Sample (OOS)
0.07,Reflection,-1.7297,-0.2396,Out-of-Sample (OOS)
0.07,Single-slot,-1.4901,0.0,Out-of-Sample (OOS)
0.08,PlanExecute,-1.0285,0.7744,Out-of-Sample (OOS)
0.08,ReAct,-1.702,0.1009,Out-of-Sample (OOS)
0.08,Reflection,-2.0637,-0.2608,Out-of-Sample (OOS)
0.08,Single-slot,-1.8029,0.0,Out-of-Sample (OOS)
0.09,PlanExecute,-1.2485,0.8672,Out-of-Sample (OOS)
0.09,ReAct,-1.9971,0.1186,Out-of-Sample (OOS)
0.09,Reflection,-2.3976,-0.282,Out-of-Sample (OOS)
0.09,Single-slot,-2.1157,0.0,Out-of-Sample (OOS)
0.1,PlanExecute,-1.4686,0.9599,Out-of-Sample (OOS)
0.1,ReAct,-2.2921,0.1364,Out-of-Sample (OOS)
0.1,Reflection,-2.7316,-0.3031,Out-of-Sample (OOS)
0.1,Single-slot,-2.4285,0.0,Out-of-Sample (OOS)
0.15,PlanExecute,-2.5689,1.4237,Out-of-Sample (OOS)
0.15,ReAct,-3.7674,0.2252,Out-of-Sample (OOS)
0.15,Reflection,-4.4015,-0.4089,Out-of-Sample (OOS)
0.15,Single-slot,-3.9925,0.0,Out-of-Sample (OOS)
0.2,PlanExecute,-3.6692,1.8874,Out-of-Sample (OOS)
0.2,ReAct,-5.2426,0.314,Out-of-Sample (OOS)
0.2,Reflection,-6.0713,-0.5148,Out-of-Sample (OOS)
0.2,Single-slot,-5.5566,0.0,Out-of-Sample (OOS)
0.25,PlanExecute,-4.7695,2.3511,Out-of-Sample (OOS)
0.25,ReAct,-6.7179,0.4028,Out-of-Sample (OOS)
0.25,Reflection,-7.7412,-0.6206,Out-of-Sample (OOS)
0.25,Single-slot,-7.1206,0.0,Out-of-Sample (OOS)
0.3,PlanExecute,-5.8698,2.8149,Out-of-Sample (OOS)
0.3,ReAct,-8.1931,0.4915,Out-of-Sample (OOS)
0.3,Reflection,-9.4111,-0.7264,Out-of-Sample (OOS)
0.3,Single-slot,-8.6847,0.0,Out-of-Sample (OOS)
0.35,PlanExecute,-6.9701,3.2786,Out-of-Sample (OOS)
0.35,ReAct,-9.6684,0.5803,Out-of-Sample (OOS)
0.35,Reflection,-11.0809,-0.8322,Out-of-Sample (OOS)
0.35,Single-slot,-10.2487,0.0,Out-of-Sample (OOS)
0.4,PlanExecute,-8.0704,3.7424,Out-of-Sample (OOS)
0.4,ReAct,-11.1437,0.6691,Out-of-Sample (OOS)
0.4,Reflection,-12.7508,-0.938,Out-of-Sample (OOS)
0.4,Single-slot,-11.8128,0.0,Out-of-Sample (OOS)
0.45,PlanExecute,-9.1707,4.2061,Out-of-Sample (OOS)
0.45,ReAct,-12.6189,0.7579,Out-of-Sample (OOS)
0.45,Reflection,-14.4207,-1.0438,Out-of-Sample (OOS)
0.45,Single-slot,-13.3768,0.0,Out-of-Sample (OOS)
0.5,PlanExecute,-10.271,4.6698,Out-of-Sample (OOS)
0.5,ReAct,-14.0942,0.8467,Out-of-Sample (OOS)
0.5,Reflection,-16.0905,-1.1497,Out-of-Sample (OOS)
0.5,Single-slot,-14.9409,0.0,Out-of-Sample (OOS)
